expected_id,title,type,raw_ids,cluster_id,single_or_multi,expected_structure,why_useful,expected_quality,should_system_catch_today,needed_feature
"E01","Checklist for diagnosing ModelHub/API slowdowns and model fallback","NEEDS_DISCUSSION_SEGMENT","6034 6042 6052 6062 6069 6070 6078 6079 6105","CL01","multi","Problem symptoms; endpoint/region check; status/model availability; client fallback strategy; product diagnostics request.","Actionable support/product feedback for API users and model fallback.","medium","no","DISCUSSION_SEGMENT plus API/status signal aggregation"
"E02","How Claude/Anthropic prompt caching affects limits and API cost","SHOULD_BE_GUIDE","6765 6776 6778 6799 6803 6805 6817 6826 6836 6850 6876","CL02","multi","Cache write/read; why first request is costly; /new/clear caveat; long context cost; practical rules.","Strong practical explanation with examples and user-facing advice.","high","no","DISCUSSION_SEGMENT and combined technical explanation scoring"
"E03","Lampa StreamBert repo and what it does","SHOULD_BE_ANSWER","6107 6119 6208 6730","CL03","multi","Repo link; source project; added Russian dubbing/player; platform caveat; testing request.","Resource link with contextual explanation.","medium","no","Resource-link clustering/dedupe across cross-posts"
"E04","Pain points for AI coding CLI users","SHOULD_BE_SUMMARY","6221 6223 6224 6225","CL04","multi","Product principle; categorized pain points; follow-up questions.","Good product research artifact with numbered list.","high","borderline","Same-timestamp burst grouping; list-structure boost"
"E05","How to improve hh.ru resume visibility: activity checklist and AI-filter limitations","SHOULD_BE_GUIDE","6716 6861","CL05","single_or_pair","Disclaimer; checklist of activity signals; contact-data caveat; timing; AI-filter limitation; resume review recommendation.","Strong standalone guide-like answer.","high","yes","Fixed by approvedJudgeDecision bugfix; optional controlled reprocess for raw 6861"
"E06","How to phrase technical resume achievements actively","SHOULD_BE_ANSWER","6536","CL06","single","Before/after phrasing; emphasize owner action; note marginal conversion impact.","Specific resume-writing advice.","medium","maybe","Career/resume answer scoring boost for concrete before/after examples"
"E07","Psychedelic retreats: cautionary observations and goal-setting alternative","NEEDS_DISCUSSION_SEGMENT","6341 6540 6543 6592 6688 6820","CL07","multi","Question context; observed harms; goal-setting alternative; caveats and non-medical framing.","Coherent Q&A chain but sensitive and context-dependent.","medium","no","DISCUSSION_SEGMENT with safety framing and health-topic caution"
"E08","Working remotely from another location: risk checklist","SHOULD_BE_ANSWER","6144 6367","CL08","pair","Company-specific risk; security detection; ask manager/colleagues; hide location caveat.","Short practical risk answer.","low-medium","no","Q&A pair linking; risk/policy cautious prompt"
"E09","AI news digest from overnight posts","LOW_VALUE","6419 6544 6545 6831","CL09","single_or_multi","N/A unless news mode enabled.","Low actionability; would clutter materials.","low","no","Keep newsBrief optional; do not boost by default"
"E10","Hosting promo post","NOISE","6306 6307","CL10","single","N/A","Ad/promo, not user knowledge.","low","no","Promo suppression"
