chunk	dataset_id	http_status	run_id	run_status	provider_calls	cost	materials	error
001	15814	200	15818	COMPLETED	9	0.107875	1	
002	15815	200	15826	COMPLETED	3	0.017995	0	LLM_REJECTED_ALL
003	15816	200	15827	COMPLETED	3	0.03571	1	
004	15817	200	15833	COMPLETED	1	0.0133	0	LLM_REJECTED_ALL
005	15818	200	15834	COMPLETED	1	0.006455	0	LLM_REJECTED_ALL
006	15819	200	15838	COMPLETED	0	0.0	0	NO_MATERIAL_CANDIDATES
007	15820	200	15839	COMPLETED	0	0.0	0	NO_MATERIAL_CANDIDATES
008	15821	200	15840	COMPLETED	3	0.04426	1	
009	15822	200	15842	COMPLETED	5	0.06314	2	
010	15823	200	15846	COMPLETED	8	0.10238	4	
011	15824	200	15853	COMPLETED	1	0.00986	0	LLM_REJECTED_ALL
012	15825	200	15854	COMPLETED	1	0.009235	0	LLM_REJECTED_ALL
013	15826	200	15855	COMPLETED	2	0.01874	0	LLM_REJECTED_ALL
014	15827	200	15857	COMPLETED	3	0.01233	0	LLM_REJECTED_ALL
015	15828	200	15860	COMPLETED	10	0.11088	2	
016	15829	200	15866	COMPLETED	15	0.2025	6	
017	15830	200	15872	COMPLETED	1	0.008635	0	LLM_REJECTED_ALL
018	15831	200	15874	COMPLETED	7	0.06644	1	
019	15832	200	15875	COMPLETED	1	0.011715	0	LLM_REJECTED_ALL
020	15833	200	15877	COMPLETED	0	0.0	0	NO_MATERIAL_CANDIDATES
021	15834	200	15879	COMPLETED	1	0.00781	0	LLM_REJECTED_ALL
022	15835	200	15880	COMPLETED	1	0.0	0	LLM_REJECTED_ALL
023	15836	200	15881	COMPLETED	4	0.041475	0	LLM_REJECTED_ALL
024	15837	200	15882	COMPLETED	3	0.037015	1	
025	15838	200	15883	COMPLETED	4	0.037205	1	
026	15839	200	15884	COMPLETED	6	0.07286	2	
027	15840	200	15887	COMPLETED	3	0.04369	1	
028	15841	200	15889	COMPLETED	1	0.00957	0	LLM_REJECTED_ALL
029	15842	200	15891	COMPLETED	0	0.0	0	NO_MATERIAL_CANDIDATES
030	15843	200	15892	COMPLETED	1	0.010165	0	LLM_REJECTED_ALL
