cluster_id,class_id,title,chat_topic,raw_ids,messages_count,time_window,representative_messages,why_grouped,useful_signals,proposed_type,standalone_quality,context_needed,should_materialize,expected_material_title,expected_material_outline
"CL01","C01","API status page and fallback diagnostics","Vibemode / Баги и вопросы по API","6034 6042 6047 6048 6052 6062 6069 6070 6078 6079 6105","11","2026-06-26 01:10-01:17 MSK","6052 asks for model/API status page; 6062 wants fallback data for Hermes; 6105 lists manual diagnostic checks.","One coherent support/product feedback thread about status monitoring and fallback diagnostics.","API_OR_STATUS_SIGNAL; troubleshooting; product requirement; fallback","DISCUSSION_SEGMENT","medium-low per message","yes","yes","Checklist for diagnosing ModelHub/API slowdowns and model fallback","Check endpoint/region; model status; VPN/routing/tool settings; fallback models; product need for availability status endpoint."
"CL02","C02","Anthropic cache and Claude limits explanation","Vibecoder Chat [Public] / Claude Code","6765 6769 6776 6778 6799 6803 6805 6817 6819 6826 6836 6850 6876","13","2026-06-26 09:49-09:59 MSK","6765 explains cache writes/read cost; 6776 translates to plain language; 6799/6805/6817 explain /new and cache reset; 6876 gives $9.8 example.","A single explanatory discussion about prompt cache, long context and limits.","API_OR_STATUS_SIGNAL; cost explanation; actionable usage advice; examples","GUIDE","medium","yes","yes","How Claude/Anthropic prompt caching affects subscription limits and API cost","Explain cache write/read; why first requests cost more; why /new or /clear resets cache; when to keep context; when to disable 1M context."
"CL03","C03","Lampa StreamBert resource and repo","Vibe GIG Мастерская / Флудилка + Полезные ссылки","6107 6109 6110 6119 6121 6208 6730","7","2026-06-26 01:17-09:46 MSK","6107/6119 describes streambert/lampa source; 6208/6730 shares repo and platform note.","Duplicate/cross-posted resource context around one GitHub project.","LINK_CONTEXT; resource; setup caveat","ANSWER","medium","yes","yes","Lampa StreamBert repo and what it does","What repo is; source project; what was added; platform caveat; link to repo; testing request."
"CL04","C05","Singular CLI pain points for vibe-coding tools","Vibe GIG Мастерская / Флудилка","6219 6220 6221 6222 6223 6224 6225 6226","8","2026-06-26 02:30-02:31 MSK","6221 states product principle; 6224 lists 11 pain points; 6225 asks for feedback.","Same-timestamp burst forms one product research artifact.","numbered list; product feedback; UX pain points; agent tooling","SUMMARY","medium-high for 6224","yes","yes","Pain points for AI coding CLI users","Summarize principles; list pain points; categorize UX, model/tooling, cost, open-source, domain capability."
"CL05","C04","hh resume visibility and AI filters","ОМ: Полезные обсуждения","6716 6861","2","2026-06-26 09:44-09:58 MSK","6716 asks for guide; 6861 provides checklist and limitations.","Question plus substantive answer; answer is standalone enough but better with question context.","GUIDE_OR_HOWTO; checklist; limitations; AI filters; hh.ru","GUIDE","high for 6861","no","yes","How to improve hh.ru resume visibility: activity checklist and AI-filter limitations","Disclaimer; activity signals; resume updates; removing contacts from About; timing; AI filter caveat; resume review recommendation."
"CL06","C04","Resume achievement phrasing polish","ОМ: Резюме / Резюме","6536","1","2026-06-26 07:24 MSK","6536 corrects passive phrasing into active achievements.","Single useful coaching note on resume wording.","career; wording; conversion; concrete examples","ANSWER","medium","no","yes","How to phrase technical resume achievements actively","Avoid passive claims; say what you did; examples from GUI/USB/interface/install; note marginal gains."
"CL07","C06","Psychedelic retreat risks and goal-setting alternative","ОМ: Биохакинг","6341 6538 6540 6543 6592 6688 6820","7","2026-06-26 05:35-09:55 MSK","6543 gives negative cases and cautions; 6592 gives goal-setting alternative; 6688 explains shallow belief work.","One Q&A chain about retreat research and psychological/coaching risks.","caution; observed cases; alternative intervention; question-answer chain","DISCUSSION_SEGMENT","medium","yes","yes","Psychedelic retreats: cautionary observations and goal-setting alternative","Context; reported negative outcomes; risk of esotericism/dissociation; goal formulation as alternative; caveats and non-medical framing."
"CL08","C07","Remote work from another location risk","ОМ: Полезные обсуждения","6144 6367","2","2026-06-26 01:40-06:03 MSK","6367 says risk depends on company/security, hide location if possible, ask manager/colleagues.","Short practical answer to remote-location risk.","risk; conditional advice; operational policy","ANSWER","medium-low","yes","maybe","Working remotely from another location: risk checklist","Company-specific risk; security team; hiding location; ask manager/colleagues; avoid universal guarantees."
"CL09","C08","AI news digest and GPT-5.6 rumors","Vibe Dev / News; ЯИ-шка; Потребители","6419 6544 6545 6831","4","2026-06-26 06:37-09:55 MSK","6544/6545 digest; 6419/6831 GPT-5.6 rumor posts.","News content with low direct actionability.","news; AI models; rumors","SUMMARY","low-medium","no","no","AI news digest","Only materialize if product wants newsBrief; otherwise ignore."
"CL10","C09","Hosting promo post","Vibecoder Chat [Public] / Ваши проекты","6306 6307 6676","3","2026-06-26 03:36-09:23 MSK","6306 promotional hosting post; 6307 minor update.","Ad/promo cluster.","promo; product description","IGNORE","low","no","no","N/A","Correct reject unless ad-card product exists."
"CL11","C10","Repeated OM onboarding messages","ОМ onboarding threads","6028 6205 6346 6677 6031 6311 6348 6379 6745","9","whole window","Repeated welcome text with community navigation.","Repeated boilerplate template.","onboarding but duplicate","IGNORE","low","no","no","N/A","Duplicate/welcome suppression."
"CL12","C11","Crypto/trading chatter","Опричнина","6136 6230 6233 6239 6285 6301 6302 6340 6353 6635 6845 6851","12","whole window","Prop firm abuse, liquidation talk, long/short jokes.","Large off-topic/risky financial chatter.","none suitable; risk","IGNORE","low","no","no","N/A","Avoid generating financial advice from chat noise."
