context_window_id,anchor_lab_message_id,attached_lab_message_id,anchor_raw_id,attached_raw_id,attached_route,attach_reason,preview
ctx-a4a7e3c2ce33,msg-19752,msg-15900,3891,8407,AGGREGATE_ONLY,corroborating_context_window,Мы уже в эфире прожариваем скрининги HR и валютные и обычные https://youtube.com/live/UKTU4L_ZFqU?feature=share
ctx-0075318f538a,msg-15900,msg-19752,8407,3891,AGGREGATE_ONLY,corroborating_context_window,"Проходим HR скрининги / Что рекрутерки спрашивают в 2026? В пятницу 17:00 будем разбирать реальные скрининги в бигтех и исправлять ошибки кандидатов, которые приводят к отказу http"
ctx-7987778b52c3,msg-08187,msg-08190,16949,16948,REJECT_SAFE,corroborating_context_window,такое предупреждение вылезает
ctx-ec8d413ac603,msg-06544,msg-06559,18701,18684,CONTEXT_ONLY,corroborating_context_window,обрати внимание что тут 5.4
ctx-ec8d413ac603,msg-06544,msg-06555,18701,18690,CONTEXT_ONLY,corroborating_context_window,Так это не от модели уже зависит
ctx-ec8d413ac603,msg-06544,msg-06554,18701,18691,CONTEXT_ONLY,corroborating_context_window,я запутался
ctx-ec8d413ac603,msg-06544,msg-06553,18701,18692,CONTEXT_ONLY,corroborating_context_window,короч
ctx-ec8d413ac603,msg-06544,msg-06552,18701,18693,CONTEXT_ONLY,corroborating_context_window,что делать?))
ctx-ec8d413ac603,msg-06544,msg-06551,18701,18694,CONTEXT_ONLY,corroborating_context_window,А от размера чата. Поэтому и спрашиваю про картинки
ctx-ec8d413ac603,msg-06544,msg-06549,18701,18696,CONTEXT_ONLY,corroborating_context_window,Пока я поднимаю лимиты в кластере - новый чат и попросить посмотреть прошлый и продолжить
ctx-ec8d413ac603,msg-06544,msg-06547,18701,18698,CONTEXT_ONLY,corroborating_context_window,всё упало?
ctx-ec8d413ac603,msg-06544,msg-06546,18701,18699,CONTEXT_ONLY,corroborating_context_window,это другой чат
ctx-ec8d413ac603,msg-06544,msg-06545,18701,18700,CONTEXT_ONLY,corroborating_context_window,"5.4 запрос ""test"" на пустом контексте отрабатывает 25с. Лучше чем вчера, да, но сильно хуже чем на нативной подписке (но это как будто ожидаемо =) )"
ctx-ec8d413ac603,msg-06544,msg-06543,18701,18702,CONTEXT_ONLY,corroborating_context_window,спорно...
ctx-ec8d413ac603,msg-06544,msg-06542,18701,18703,CONTEXT_ONLY,corroborating_context_window,"не шалит, я бы заметил"
ctx-ec8d413ac603,msg-06544,msg-06541,18701,18704,CONTEXT_ONLY,corroborating_context_window,"Это исправимо, как мы разрулим проблему с кибербезом. Ну и сам кодекс апп плохо работает когда не на подписке"
ctx-38e6938e6679,msg-02547,msg-02550,23057,23053,CONTEXT_ONLY,corroborating_context_window,вылезает периодически окно кибер безопастности - это нормально?
