local_id,order_index,raw_id,dataset_message_id,chat,topic,message_date,role,text_preview
"S0002","0","5953","5012","Vibemode","Баги и вопросы по API","2026-06-25T22:00:29+00:00","context","а там щас тоже беда"
"S0002","1","5954","5013","Vibemode","Баги и вопросы по API","2026-06-25T22:00:43+00:00","context","мы раньше в двоем max x20 не выжигали, а щас прям в притых"
"S0002","2","5955","5014","Vibemode","Баги и вопросы по API","2026-06-25T22:00:57+00:00","context","Ну значит свой апи такой развернул))"
"S0002","3","5957","5015","Vibemode","Баги и вопросы по API","2026-06-25T22:01:02+00:00","context","Это вообще треш"
"S0002","4","5959","5019","Vibemode","Баги и вопросы по API","2026-06-25T22:01:19+00:00","context","Сразу уточню, что объем работы не поменялся"
"S0002","5","5965","5024","Vibemode","Баги и вопросы по API","2026-06-25T22:02:08+00:00","context","Да я верю. Я полтора года сидел на макс 5 в клоде и там конечно заканчивались лимиты, но это даже не сопоставимо с гпт х20"
"S0009","0","6012","5062","Vibemode","Баги и вопросы по API","2026-06-25T22:07:43+00:00","context","на подписке работает сильно быстрее, 3-10 сек на ответ, на прокси 20-140сек на ответ"
"S0009","1","6014","5063","Vibemode","Баги и вопросы по API","2026-06-25T22:07:52+00:00","context","последние 3 часа на подписке"
"S0009","2","6016","5064","Vibemode","Баги и вопросы по API","2026-06-25T22:08:11+00:00","context","мы смотрим почему могло у кого-то замедлиться, а у кого-то нет"
"S0009","3","6018","5067","Vibemode","Баги и вопросы по API","2026-06-25T22:08:18+00:00","context","а какой у тебя поинт стоит подскажи"
"S0009","4","6019","5068","Vibemode","Баги и вопросы по API","2026-06-25T22:08:31+00:00","context","что за поинт"
"S0009","5","6021","5070","Vibemode","Баги и вопросы по API","2026-06-25T22:09:00+00:00","context","Хз, не замечал такого"
"S0012","0","6018","5067","Vibemode","Баги и вопросы по API","2026-06-25T22:08:18+00:00","context","а какой у тебя поинт стоит подскажи"
"S0012","1","6019","5068","Vibemode","Баги и вопросы по API","2026-06-25T22:08:31+00:00","context","что за поинт"
"S0012","2","6021","5070","Vibemode","Баги и вопросы по API","2026-06-25T22:09:00+00:00","context","Хз, не замечал такого"
"S0012","3","6024","5073","Vibemode","Баги и вопросы по API","2026-06-25T22:10:27+00:00","context","base_url"
"S0012","4","6025","5074","Vibemode","Баги и вопросы по API","2026-06-25T22:10:32+00:00","context","да у меня тоже летает"
"S0012","5","6026","5075","Vibemode","Баги и вопросы по API","2026-06-25T22:10:40+00:00","context","api."
"S0013","0","6019","5068","Vibemode","Баги и вопросы по API","2026-06-25T22:08:31+00:00","context","что за поинт"
"S0013","1","6021","5070","Vibemode","Баги и вопросы по API","2026-06-25T22:09:00+00:00","context","Хз, не замечал такого"
"S0013","2","6024","5073","Vibemode","Баги и вопросы по API","2026-06-25T22:10:27+00:00","context","base_url"
"S0013","3","6025","5074","Vibemode","Баги и вопросы по API","2026-06-25T22:10:32+00:00","context","да у меня тоже летает"
"S0013","4","6026","5075","Vibemode","Баги и вопросы по API","2026-06-25T22:10:40+00:00","context","api."
"S0013","5","6030","5076","Vibemode","Баги и вопросы по API","2026-06-25T22:10:45+00:00","context","не рф который"
"S0014","0","6021","5070","Vibemode","Баги и вопросы по API","2026-06-25T22:09:00+00:00","context","Хз, не замечал такого"
"S0014","1","6024","5073","Vibemode","Баги и вопросы по API","2026-06-25T22:10:27+00:00","context","base_url"
"S0014","2","6025","5074","Vibemode","Баги и вопросы по API","2026-06-25T22:10:32+00:00","context","да у меня тоже летает"
"S0014","3","6026","5075","Vibemode","Баги и вопросы по API","2026-06-25T22:10:40+00:00","context","api."
"S0014","4","6030","5076","Vibemode","Баги и вопросы по API","2026-06-25T22:10:45+00:00","context","не рф который"
"S0014","5","6034","5085","Vibemode","Баги и вопросы по API","2026-06-25T22:11:26+00:00","context","а, переключись на рф, не рф пока не стабилен изза усиленного CF"
"S0015","0","6024","5073","Vibemode","Баги и вопросы по API","2026-06-25T22:10:27+00:00","context","base_url"
"S0015","1","6025","5074","Vibemode","Баги и вопросы по API","2026-06-25T22:10:32+00:00","context","да у меня тоже летает"
"S0015","2","6026","5075","Vibemode","Баги и вопросы по API","2026-06-25T22:10:40+00:00","context","api."
"S0015","3","6030","5076","Vibemode","Баги и вопросы по API","2026-06-25T22:10:45+00:00","context","не рф который"
"S0015","4","6034","5085","Vibemode","Баги и вопросы по API","2026-06-25T22:11:26+00:00","context","а, переключись на рф, не рф пока не стабилен изза усиленного CF"
"S0015","5","6042","5091","Vibemode","Баги и вопросы по API","2026-06-25T22:12:32+00:00","context","Не знаю, проблема у меня или нет, но на r-api порой вообще отваливается. Hermes тормозит, Droid на домашнем сервере тоже (хотя там скорее проблема в настройках маршрутизации и Fake IP)."
"S0016","0","6025","5074","Vibemode","Баги и вопросы по API","2026-06-25T22:10:32+00:00","context","да у меня тоже летает"
"S0016","1","6026","5075","Vibemode","Баги и вопросы по API","2026-06-25T22:10:40+00:00","context","api."
"S0016","2","6030","5076","Vibemode","Баги и вопросы по API","2026-06-25T22:10:45+00:00","context","не рф который"
"S0016","3","6034","5085","Vibemode","Баги и вопросы по API","2026-06-25T22:11:26+00:00","context","а, переключись на рф, не рф пока не стабилен изза усиленного CF"
"S0016","4","6042","5091","Vibemode","Баги и вопросы по API","2026-06-25T22:12:32+00:00","context","Не знаю, проблема у меня или нет, но на r-api порой вообще отваливается. Hermes тормозит, Droid на домашнем сервере тоже (хотя там скорее проблема в настройках маршрутизации и Fake IP)."
"S0016","5","6047","5092","Vibemode","Баги и вопросы по API","2026-06-25T22:12:58+00:00","context","100%, ру апи для РФ айпишников"
"S0017","0","6026","5075","Vibemode","Баги и вопросы по API","2026-06-25T22:10:40+00:00","context","api."
"S0017","1","6030","5076","Vibemode","Баги и вопросы по API","2026-06-25T22:10:45+00:00","context","не рф который"
"S0017","2","6034","5085","Vibemode","Баги и вопросы по API","2026-06-25T22:11:26+00:00","context","а, переключись на рф, не рф пока не стабилен изза усиленного CF"
"S0017","3","6042","5091","Vibemode","Баги и вопросы по API","2026-06-25T22:12:32+00:00","context","Не знаю, проблема у меня или нет, но на r-api порой вообще отваливается. Hermes тормозит, Droid на домашнем сервере тоже (хотя там скорее проблема в настройках маршрутизации и Fake IP)."
"S0017","4","6047","5092","Vibemode","Баги и вопросы по API","2026-06-25T22:12:58+00:00","context","100%, ру апи для РФ айпишников"
"S0017","5","6048","5093","Vibemode","Баги и вопросы по API","2026-06-25T22:13:05+00:00","context","он по этому и r-api"
"S0018","0","6030","5076","Vibemode","Баги и вопросы по API","2026-06-25T22:10:45+00:00","context","не рф который"
"S0018","1","6034","5085","Vibemode","Баги и вопросы по API","2026-06-25T22:11:26+00:00","context","а, переключись на рф, не рф пока не стабилен изза усиленного CF"
"S0018","2","6042","5091","Vibemode","Баги и вопросы по API","2026-06-25T22:12:32+00:00","context","Не знаю, проблема у меня или нет, но на r-api порой вообще отваливается. Hermes тормозит, Droid на домашнем сервере тоже (хотя там скорее проблема в настройках маршрутизации и Fake IP)."
"S0018","3","6047","5092","Vibemode","Баги и вопросы по API","2026-06-25T22:12:58+00:00","context","100%, ру апи для РФ айпишников"
"S0018","4","6048","5093","Vibemode","Баги и вопросы по API","2026-06-25T22:13:05+00:00","context","он по этому и r-api"
"S0018","5","6052","5102","Vibemode","Баги и вопросы по API","2026-06-25T22:13:38+00:00","context","Очень хотелось бы страницу мониторинга, чтобы знать наверняка, какой API и какая модель работает, в идеале бы ещё по запросу списка моделей получать информацию о рабочих или не рабочих моделях"
"S0019","0","6034","5085","Vibemode","Баги и вопросы по API","2026-06-25T22:11:26+00:00","context","а, переключись на рф, не рф пока не стабилен изза усиленного CF"
"S0019","1","6042","5091","Vibemode","Баги и вопросы по API","2026-06-25T22:12:32+00:00","context","Не знаю, проблема у меня или нет, но на r-api порой вообще отваливается. Hermes тормозит, Droid на домашнем сервере тоже (хотя там скорее проблема в настройках маршрутизации и Fake IP)."
"S0019","2","6047","5092","Vibemode","Баги и вопросы по API","2026-06-25T22:12:58+00:00","context","100%, ру апи для РФ айпишников"
"S0019","3","6048","5093","Vibemode","Баги и вопросы по API","2026-06-25T22:13:05+00:00","context","он по этому и r-api"
"S0019","4","6052","5102","Vibemode","Баги и вопросы по API","2026-06-25T22:13:38+00:00","context","Очень хотелось бы страницу мониторинга, чтобы знать наверняка, какой API и какая модель работает, в идеале бы ещё по запросу списка моделей получать информацию о рабочих или не рабочих моделях"
"S0019","5","6062","5103","Vibemode","Баги и вопросы по API","2026-06-25T22:14:10+00:00","context","Чтобы в Hermes и подобных агентах fallback на другие модели делать нормально"
"S0020","0","6042","5091","Vibemode","Баги и вопросы по API","2026-06-25T22:12:32+00:00","context","Не знаю, проблема у меня или нет, но на r-api порой вообще отваливается. Hermes тормозит, Droid на домашнем сервере тоже (хотя там скорее проблема в настройках маршрутизации и Fake IP)."
"S0020","1","6047","5092","Vibemode","Баги и вопросы по API","2026-06-25T22:12:58+00:00","context","100%, ру апи для РФ айпишников"
"S0020","2","6048","5093","Vibemode","Баги и вопросы по API","2026-06-25T22:13:05+00:00","context","он по этому и r-api"
"S0020","3","6052","5102","Vibemode","Баги и вопросы по API","2026-06-25T22:13:38+00:00","context","Очень хотелось бы страницу мониторинга, чтобы знать наверняка, какой API и какая модель работает, в идеале бы ещё по запросу списка моделей получать информацию о рабочих или не рабочих моделях"
"S0020","4","6062","5103","Vibemode","Баги и вопросы по API","2026-06-25T22:14:10+00:00","context","Чтобы в Hermes и подобных агентах fallback на другие модели делать нормально"
"S0020","5","6064","5113","Vibemode","Баги и вопросы по API","2026-06-25T22:14:19+00:00","context","постараемся"
"S0021","0","6047","5092","Vibemode","Баги и вопросы по API","2026-06-25T22:12:58+00:00","context","100%, ру апи для РФ айпишников"
"S0021","1","6048","5093","Vibemode","Баги и вопросы по API","2026-06-25T22:13:05+00:00","context","он по этому и r-api"
"S0021","2","6052","5102","Vibemode","Баги и вопросы по API","2026-06-25T22:13:38+00:00","context","Очень хотелось бы страницу мониторинга, чтобы знать наверняка, какой API и какая модель работает, в идеале бы ещё по запросу списка моделей получать информацию о рабочих или не рабочих моделях"
"S0021","3","6062","5103","Vibemode","Баги и вопросы по API","2026-06-25T22:14:10+00:00","context","Чтобы в Hermes и подобных агентах fallback на другие модели делать нормально"
"S0021","4","6064","5113","Vibemode","Баги и вопросы по API","2026-06-25T22:14:19+00:00","context","постараемся"
"S0021","5","6069","5114","Vibemode","Баги и вопросы по API","2026-06-25T22:14:43+00:00","context","причем тут лимиты то? эти 2 дня у меня кодекс с обычно подпиской работает как всегда обычно. а апи провайдер думает ооочень долго. Я не наговариваю, я факт говорю"
"S0022","0","6048","5093","Vibemode","Баги и вопросы по API","2026-06-25T22:13:05+00:00","context","он по этому и r-api"
"S0022","1","6052","5102","Vibemode","Баги и вопросы по API","2026-06-25T22:13:38+00:00","context","Очень хотелось бы страницу мониторинга, чтобы знать наверняка, какой API и какая модель работает, в идеале бы ещё по запросу списка моделей получать информацию о рабочих или не рабочих моделях"
"S0022","2","6062","5103","Vibemode","Баги и вопросы по API","2026-06-25T22:14:10+00:00","context","Чтобы в Hermes и подобных агентах fallback на другие модели делать нормально"
"S0022","3","6064","5113","Vibemode","Баги и вопросы по API","2026-06-25T22:14:19+00:00","context","постараемся"
"S0022","4","6069","5114","Vibemode","Баги и вопросы по API","2026-06-25T22:14:43+00:00","context","причем тут лимиты то? эти 2 дня у меня кодекс с обычно подпиской работает как всегда обычно. а апи провайдер думает ооочень долго. Я не наговариваю, я факт говорю"
"S0022","5","6070","5115","Vibemode","Баги и вопросы по API","2026-06-25T22:14:46+00:00","context","но чаще всего зависит не от нас, а чаще всего все сбои на стороне кого то, но мы обязательно подумаем над этим! Спасибо!"
