material_id,title,type,normalized_type,status,candidateType,created_at,included_in_total,included_in_type_tab,tab_name,notes
"8","╨в╤А╨╡╨▒╨╛╨▓╨░╨╜╨╕╤П BGE-M3: RAM ╨╕ ╤А╨░╨╖╨╝╨╡╤А╨╜╨╛╤Б╤В╤М ╤Н╨╝╨▒╨╡╨┤╨┤╨╕╨╜╨│╨╛╨▓","answer","ANSWER","DRAFT","MACRO","2026-06-24T03:02:48.326808+00:00","true","true","╨Ю╤В╨▓╨╡╤В╤Л","Known visible type"
"2","Spring Pipeline Operations: Timeouts, Health Checks, Provider Limits, and Trace-Based Debugging","generation","GENERATION","DRAFT","MACRO","2026-06-24T01:14:07.517017+00:00","true","true","╨У╨╡╨╜╨╡╤А╨░╤Ж╨╕╨╕","Known visible type"
"3","Scoped Acceptance Run Budget Guidance for ModelHub and Telegram Backfill","generation","GENERATION","DRAFT","MACRO","2026-06-24T01:14:07.517017+00:00","true","true","╨У╨╡╨╜╨╡╤А╨░╤Ж╨╕╨╕","Known visible type"
"4","╨Ю╤И╨╕╨▒╨║╨░ ╨╕╨╝╨┐╨╛╤А╤В╨░ SentenceTransformer ╨╕╨╖ sentence_transformers","generation","GENERATION","DRAFT","MACRO","2026-06-24T03:02:48.326808+00:00","true","true","╨У╨╡╨╜╨╡╤А╨░╤Ж╨╕╨╕","Known visible type"
"7","╨Ъ╤А╨░╤В╨║╨░╤П ╤Б╨┐╤А╨░╨▓╨║╨░ ╨┐╨╛ Hugging Face ╨╕ ╨╕╨╜╤Д╤А╨░╤Б╤В╤А╤Г╨║╤В╤Г╤А╨╡ ╨┤╨╗╤П ML/RAG-╨┐╤А╨╛╨╡╨║╤В╨░","generation","GENERATION","DRAFT","MACRO","2026-06-24T03:02:48.326808+00:00","true","true","╨У╨╡╨╜╨╡╤А╨░╤Ж╨╕╨╕","Known visible type"
"9","Anthropic Careers Overview","generation","GENERATION","DRAFT","MACRO","2026-06-24T18:10:52.201525+00:00","true","true","╨У╨╡╨╜╨╡╤А╨░╤Ж╨╕╨╕","Known visible type"
"11","╨Я╨╛╨┤╨▒╨╛╤А╨║╨╕ ╨┐╨╛╨╗╨╡╨╖╨╜╤Л╤Е ╨┐╤А╨╛╨╝╤В╨╛╨▓ ╨┤╨╗╤П ChatGPT","generation","GENERATION","DRAFT","MACRO","2026-06-24T19:08:46.59452+00:00","true","true","╨У╨╡╨╜╨╡╤А╨░╤Ж╨╕╨╕","Known visible type"
"15","╨г╤В╨╛╤З╨╜╨╡╨╜╨╕╨╡ ╨╗╨╕╤З╨╜╨╛╨│╨╛ ╨╖╨╜╨░╨║╨╛╨╝╤Б╤В╨▓╨░ ╨╕ ╨╛╤Б╨▓╨╡╨┤╨╛╨╝╨╗╤С╨╜╨╜╨╛╤Б╤В╨╕ ╨╛╨▒ ╨╕╨╝╨╡╨╜╨╕","generation","GENERATION","DRAFT","MACRO","2026-06-25T19:00:39.162716+00:00","true","true","╨У╨╡╨╜╨╡╤А╨░╤Ж╨╕╨╕","Known visible type"
"18","╨б╨║╨╡╨┐╤Б╨╕╤Б ╨║ ┬л╤Д╨╕╤И╨║╨░╨╝ ╤А╨░╨┤╨╕ ╤Д╨╕╤И╨╡╨║┬╗","generation","GENERATION","DRAFT","MACRO","2026-06-25T19:14:09.259063+00:00","true","true","╨У╨╡╨╜╨╡╤А╨░╤Ж╨╕╨╕","Known visible type"
"20","╨Ъ╨╡╤И╨╕╤А╨╛╨▓╨░╨╜╨╕╨╡ ╨╕ ╨╛╨┐╤В╨╕╨╝╨╕╨╖╨░╤Ж╨╕╤П ╨╜╨░╨│╤А╤Г╨╖╨║╨╕ ╨▓ ╨┐╨╛╨┤╨┐╨╕╤Б╨║╨╡ ╨╕ API Anthropic","generation","GENERATION","DRAFT","MACRO","2026-06-26T12:42:26.826647+00:00","true","true","╨У╨╡╨╜╨╡╤А╨░╤Ж╨╕╨╕","Known visible type"
"5","FastAPI: ╨╖╨░╨┐╤Г╤Б╨║ ╨╕ production deployment","guide","GUIDE","DRAFT","MACRO","2026-06-24T03:02:48.326808+00:00","true","true","╨У╨░╨╣╨┤╤Л","Known visible type"
"6","Fixing Docker Build Failures for PyTorch CPU-Only Python Images","guide","GUIDE","DRAFT","MACRO","2026-06-24T03:02:48.326808+00:00","true","true","╨У╨░╨╣╨┤╤Л","Known visible type"
"10","╨Ь╨╕╨╜╨╕-╨│╨░╨╣╨┤ ╨┐╨╛ ╨┐╤А╨╛╨▓╨╡╤А╨║╨╡ OpenAI-compatible API ╨▓ Cursor","guide","GUIDE","DRAFT","SINGLE_MESSAGE","2026-06-24T19:07:36.051534+00:00","true","true","╨У╨░╨╣╨┤╤Л","Known visible type"
"12","╨Ъ╨░╨║ ╨╛╨┐╤В╨╕╨╝╨╕╨╖╨╕╤А╨╛╨▓╨░╤В╤М ╤А╨╡╨╖╤О╨╝╨╡ ╨┤╨╗╤П AI-╤Д╨╕╨╗╤М╤В╤А╨╛╨▓ ╨╕ HR ╨╜╨░ hh","guide","GUIDE","DRAFT","SINGLE_MESSAGE","2026-06-25T12:09:03.726556+00:00","true","true","╨У╨░╨╣╨┤╤Л","Known visible type"
"14","╨Х╨┤╨╕╨╜╨░╤П ╤В╨╛╤З╨║╨░ ╨┐╨╡╤А╨╡╨║╨╗╤О╤З╨╡╨╜╨╕╤П ╨╜╨╡╤Б╨║╨╛╨╗╤М╨║╨╕╤Е ChatGPT Plus ╨░╨║╨║╨░╤Г╨╜╤В╨╛╨▓ ╨┤╨╗╤П VPS, Codex CLI ╨╕ Desktop","guide","GUIDE","DRAFT","SINGLE_MESSAGE","2026-06-25T13:58:06.80055+00:00","true","true","╨У╨░╨╣╨┤╤Л","Known visible type"
"22","╨Я╤А╨░╨▓╨╕╨╗╨░ ╤З╨░╤В╨░ ╨┤╨╗╤П ╤Г╤З╨░╤Б╤В╨╜╨╕╨║╨╛╨▓","guide","GUIDE","DRAFT","SINGLE_MESSAGE","2026-06-26T13:01:09.638567+00:00","true","true","╨У╨░╨╣╨┤╤Л","Known visible type"
"23","Fallback ╨╜╨░ ╨┤╤А╤Г╨│╨╕╨╡ ╨╝╨╛╨┤╨╡╨╗╨╕ ╨╕ ╤Б╤В╨░╤В╤Г╤Б ╨┤╨╛╤Б╤В╤Г╨┐╨╜╨╛╤Б╤В╨╕ ╨┐╤А╨╕ ╨╖╨░╨┤╨╡╤А╨╢╨║╨░╤Е API-╨┐╤А╨╛╨▓╨░╨╣╨┤╨╡╤А╨░","GUIDE","GUIDE","DRAFT","DISCUSSION_SEGMENT","2026-06-26T15:19:04.363769+00:00","true","true","╨У╨░╨╣╨┤╤Л","Known visible type"
"24","╨Ъ╨░╨║ ╨║╨╡╤И╨╕╤А╨╛╨▓╨░╨╜╨╕╨╡ ╨╝╨╛╨╢╨╡╤В ╨▓╨╗╨╕╤П╤В╤М ╨╜╨░ ╤А╨░╤Б╤Е╨╛╨┤ ╨╗╨╕╨╝╨╕╤В╨╛╨▓ ╨▓ Claude Code","GUIDE","GUIDE","DRAFT","DISCUSSION_SEGMENT","2026-06-26T15:20:06.899126+00:00","true","true","╨У╨░╨╣╨┤╤Л","Known visible type"
"26","╨Ъ╤А╨░╤В╨║╨░╤П ╨╕╨╜╤Б╤В╤А╤Г╨║╤Ж╨╕╤П ╨┐╨╛ ╤Б╤В╨░╤А╤В╤Г ╤Б Prismatic API","GUIDE","GUIDE","DRAFT","SINGLE_MESSAGE","2026-06-26T19:19:17.366381+00:00","true","true","╨У╨░╨╣╨┤╤Л","Known visible type"
"33","awesome-android-root: ╨║╨░╤В╨░╨╗╨╛╨│ ╨╕╨╜╤Б╤В╤А╤Г╨╝╨╡╨╜╤В╨╛╨▓ ╨╕ ╤А╤Г╨║╨╛╨▓╨╛╨┤╤Б╤В╨▓ ╨┤╨╗╤П ╤А╤Г╤В╨╕╤А╨╛╨▓╨░╨╜╨╕╤П Android","GUIDE","GUIDE","DRAFT","SINGLE_MESSAGE","2026-06-27T07:05:26.618929+00:00","true","true","╨У╨░╨╣╨┤╤Л","Known visible type"
"34","╨Э╨░╤Б╤В╤А╨╛╨╣╨║╨░ ╨Ч╨░╨╜╤Л ╨┐╨╛╤Б╨╗╨╡ ╨╛╨▒╨╜╨╛╨▓╨╗╨╡╨╜╨╕╤П: ╨░╨┤╨╝╨╕╨╜╨║╨░, GIF ╨╕ ╨╗╨╛╨║╨░╨╗╤М╨╜╤Л╨╡ ╨┐╨░╤А╨░╨╝╨╡╤В╤А╤Л ╤З╨░╤В╨░","GUIDE","GUIDE","DRAFT","SINGLE_MESSAGE","2026-06-27T07:20:29.948952+00:00","true","true","╨У╨░╨╣╨┤╤Л","Known visible type"
"13","╨Я╤А╨╕╨▓╨╡╤В╤Б╤В╨▓╨╡╨╜╨╜╨╛╨╡ ╤Б╨╛╨╛╨▒╤Й╨╡╨╜╨╕╨╡ ╨┤╨╗╤П ╨╜╨╛╨▓╤Л╤Е ╤Г╤З╨░╤Б╤В╨╜╨╕╨║╨╛╨▓ ╤Б╨╛╨╛╨▒╤Й╨╡╤Б╤В╨▓╨░","cluster_summary","OTHER","DRAFT","MACRO","2026-06-25T12:09:03.726556+00:00","true","true","╨Ф╤А╤Г╨│╨╛╨╡","Unknown/null/legacy artifact_type bucketed as OTHER"
"16","Google DeepMind ╤Б╤В╨░╨╗╨║╨╕╨▓╨░╨╡╤В╤Б╤П ╤Б ╨╜╨╛╨▓╨╛╨╣ ╨▓╨╛╨╗╨╜╨╛╨╣ ╤Г╤Е╨╛╨┤╨░ ╨╕╤Б╤Б╨╗╨╡╨┤╨╛╨▓╨░╤В╨╡╨╗╨╡╨╣ ╨║ ╨║╨╛╨╜╨║╤Г╤А╨╡╨╜╤В╨░╨╝","newsBrief","OTHER","DRAFT","MACRO","2026-06-25T19:02:14.562836+00:00","true","true","╨Ф╤А╤Г╨│╨╛╨╡","Unknown/null/legacy artifact_type bucketed as OTHER"
"17","╨Ю╨▒╤Б╤Г╨╢╨┤╨╡╨╜╨╕╨╡ ╨┐╤А╨╛╨▓╨╡╤А╨║╨╕ ╨╝╨╛╨┤╨╡╨╗╨╕ DeepSeek ╨▓╨╝╨╡╤Б╤В╨╛ Opus 4.8","cluster_summary","OTHER","DRAFT","MACRO","2026-06-25T19:03:13.624458+00:00","true","true","╨Ф╤А╤Г╨│╨╛╨╡","Unknown/null/legacy artifact_type bucketed as OTHER"
"19","╨в╤А╨╡╨▒╨╛╨▓╨░╨╜╨╕╨╡ ╨║ ╤Г╨║╨░╨╖╨░╨╜╨╕╤О 30 ╨╜╨░╨╕╨▒╨╛╨╗╨╡╨╡ ╤З╨░╤Б╤В╤Л╤Е ╨╜╨░╨▓╤Л╨║╨╛╨▓ ╨┐╨╛ ╤Б╨┐╨╡╤Ж╨╕╨░╨╗╤М╨╜╨╛╤Б╤В╨╕","instruction","OTHER","DRAFT","SINGLE_MESSAGE","2026-06-26T12:39:10.767033+00:00","true","true","╨Ф╤А╤Г╨│╨╛╨╡","Unknown/null/legacy artifact_type bucketed as OTHER"
"21","╨Ь╨╛╤Б╨║╨▓╨░: ╨│╨╕╨▒╤А╨╕╨┤╨╜╤Л╨╡ ╨▓╨░╨║╨░╨╜╤Б╨╕╨╕ ╨▓ digital, ╨║╨╛╨╜╤В╨╡╨╜╤В-╨┐╤А╨╛╨┤╨░╨║╤И╨╡╨╜╨╡ ╨╕ B2B-╨┐╤А╨╛╨┤╨░╨╢╨░╤Е","cluster_summary","OTHER","DRAFT","MACRO","2026-06-26T12:42:26.826647+00:00","true","true","╨Ф╤А╤Г╨│╨╛╨╡","Unknown/null/legacy artifact_type bucketed as OTHER"
"32","Sol: ╤А╨╡╨╢╨╕╨╝╤Л ╤А╨░╤Б╤Б╤Г╨╢╨┤╨╡╨╜╨╕╤П, ╨╕╨╜╤Д╤А╨░╤Б╤В╤А╤Г╨║╤В╤Г╤А╨░ ╨╕ ╨╖╨░╤П╨▓╨╗╨╡╨╜╨╜╤Л╨╡ ╨╝╨╡╤А╤Л ╨▒╨╡╨╖╨╛╨┐╨░╤Б╨╜╨╛╤Б╤В╨╕","REFERENCE","OTHER","DRAFT","SINGLE_MESSAGE","2026-06-27T05:55:42.770953+00:00","true","true","╨Ф╤А╤Г╨│╨╛╨╡","Unknown/null/legacy artifact_type bucketed as OTHER"
"25","╨б╨▒╨╛╤А ╨╛╨▒╤А╨░╤В╨╜╨╛╨╣ ╤Б╨▓╤П╨╖╨╕ ╨╛ ╨│╨╗╨░╨▓╨╜╤Л╤Е ╨▒╨╛╨╗╤П╤Е ╨▓╨░╨╣╨▒╨║╨╛╨┤╨╡╤А╨╛╨▓","SUMMARY","SUMMARY","DRAFT","DISCUSSION_SEGMENT","2026-06-26T15:24:01.502605+00:00","true","true","╨б╨▓╨╛╨┤╨║╨╕","Known visible type"
"30","╨г╨┤╨░╤А╤Л ╨б╨и╨Р ╨┐╨╛ ╨╛╨▒╤К╨╡╨║╤В╨░╨╝ ╨▓ ╨Ш╤А╨░╨╜╨╡ ╨┐╨╛╤Б╨╗╨╡ ╨░╤В╨░╨║╨╕ ╨╜╨░ Ever Lovely","SUMMARY","SUMMARY","DRAFT","SINGLE_MESSAGE","2026-06-26T20:45:59.181116+00:00","true","true","╨б╨▓╨╛╨┤╨║╨╕","Known visible type"
"31","╨б╨╕╤В╤Г╨░╤Ж╨╕╤П ╨▓╨╛╨║╤А╤Г╨│ Strategy, STRC ╨╕ ╨┐╨╛╤В╨╡╨╜╤Ж╨╕╨░╨╗╤М╨╜╨╛╨│╨╛ ╨┤╨░╨▓╨╗╨╡╨╜╨╕╤П ╨╜╨░ Bitcoin","SUMMARY","SUMMARY","DRAFT","SINGLE_MESSAGE","2026-06-27T03:10:06.317567+00:00","true","true","╨б╨▓╨╛╨┤╨║╨╕","Known visible type"
