class_id,title,description,raw_ids,chats_topics,message_count,useful_count,potential_materials,recommendation
"C01","API / provider status and fallback","ModelHub/r-api/OpenAI status, endpoint selection, model availability, fallback behavior for Hermes/Codex-like clients.","5951 5953 5954 5955 6012 6014 6016 6018 6024 6026 6030 6034 6042 6047 6048 6052 6062 6064 6069 6070 6078 6079 6105 6111 6113 6117 6120 6125 6280","Vibemode / Баги и вопросы по API; Vibe Dev / Codex","29","9","1","Needs discussion-chain grouping; standalone scoring correctly rejects most fragments but misses combined status/fallback answer."
"C02","AI coding tools: cache, context and limits","Claude/Anthropic cache mechanics, subscription/API token cost behavior, long context cost, /new and /clear advice.","6765 6769 6776 6778 6799 6803 6805 6817 6819 6826 6836 6850 6876 6304 6317 6318","Vibecoder Chat [Public] / Claude Code; Vibe Dev / Codex","16","9","1","High-value multi-message answer; should be captured by discussion segment with technical explanation signals."
"C03","Tools and resource links","Lampa/StreamBert GitHub links, YouTube downloader promo/resource posts, repo/test requests.","6107 6109 6110 6119 6121 6208 6210 6683 6730","Vibe GIG Мастерская / Флудилка; Полезные ссылки","9","4","1-2","Resource-link answer/card detection should combine duplicate cross-posts and avoid promo-only posts."
"C04","Career / resume / hh","hh resume visibility, AI filters, resume wording polish and achievement phrasing.","6536 6716 6861 6031 6311 6348 6379","ОМ: Резюме; ОМ: Полезные обсуждения","7","3","2","Single candidate handling plus discussion-pair grouping; raw 6861 is strong standalone guide."
"C05","Product feedback / CLI pain points","Singular CLI/vibecoding product principles and pain-point list for agents/CLIs.","6219 6220 6221 6222 6223 6224 6225 6226 6258 6259 6262","Vibe GIG Мастерская / Флудилка","11","3","1","Needs same-timestamp message-burst grouping; one long list raw 6224 scored 0.48 but should join setup context."
"C06","Biohacking / retreats / coaching","Psychedelic retreat research, risks, goal-setting alternative, anxiety/goal observations.","6341 6360 6538 6539 6540 6543 6571 6574 6575 6591 6592 6684 6688 6820","ОМ: Биохакинг","14","4","1","Needs discussion segment; useful only across question-answer chain and should be framed cautiously."
"C07","Remote work / location risk","Discussion of working from another location, hiding location, company/security risk.","6144 6367","ОМ: Полезные обсуждения","2","1","1 weak","Potential short answer but lower priority; avoid overconfident advice."
"C08","AI/news/low-actionability updates","GPT-5.6 rumors, Rutube/GigaChat agents, model/news digests.","6419 6542 6544 6545 6831","Vibe Dev; ЯИ-шка; Потребители; Vibe GIG","5","2","0-1","Mostly news digest; low actionability unless newsBrief mode is explicitly desired."
"C09","Promo / ads","Hosting promo, YouTube downloader promo, channel-style posts.","6306 6307 6683","Vibecoder Chat [Public]; Vibe GIG","3","0","0","Correct reject or separate promo card only if product wants ads."
"C10","Onboarding templates","Repeated community welcome/onboarding messages.","6028 6205 6346 6677 6031 6311 6348 6379 6745","ОМ chats","9","0","0","Duplicate/welcome suppression should stay active."
"C11","Crypto/trading/offtopic chatter","Oprichnina trading, liquidation, prop-firm, jokes, personal/offtopic, media.","6136 6230 6233 6239 6285 6301 6302 6340 6353 6635 6845 6851","Опричнина threads","614","0","0","Correct reject; avoid turning risky financial chatter into materials."
"C12","General low-value chatter/media","Short replies, jokes, join events, stickers, voice/video without text, one-word confirmations.","5964 5966 5969 5970 6163 6209 6417 6418 6537 6744","multiple","200","0","0","Correct reject; keep media/no-text and short-chat filters."
