lab_message_id,raw_id,route,short_decision,has_reply,entity_count,preview
msg-00004,25750,CONTEXT_ONLY,CONTEXT_ONLY,False,0,Мощни
msg-00006,25749,CONTEXT_ONLY,CONTEXT_ONLY,False,0,да
msg-00009,25741,CONTEXT_ONLY,CONTEXT_ONLY,False,0,hero sms
msg-00010,25744,CONTEXT_ONLY,CONTEXT_ONLY,False,0,угу
msg-00011,25743,CONTEXT_ONLY,CONTEXT_ONLY,False,0,С шорта?
msg-00012,25742,CONTEXT_ONLY,CONTEXT_ONLY,False,0,пока 20%+
msg-00014,25739,CONTEXT_ONLY,CONTEXT_ONLY,False,0,кайф
msg-00015,25736,SIGNAL_ONLY,CONTEXT_ONLY,False,1,Это касается только GPT 5.4
msg-00016,25738,CONTEXT_ONLY,CONTEXT_ONLY,False,0,Классика
msg-00017,25737,CONTEXT_ONLY,CONTEXT_ONLY,False,0,Когда тебя выбьет/ликвидирует
msg-00018,25734,CONTEXT_ONLY,CONTEXT_ONLY,False,0,Пожалуйста
msg-00019,25735,CONTEXT_ONLY,ATTACH_AS_CORROBORATING_EVIDENCE,False,0,чВ
msg-00020,25732,CONTEXT_ONLY,ATTACH_AS_CORROBORATING_EVIDENCE,False,0,Лучше самому посмотреть
msg-00021,25731,CONTEXT_ONLY,CONTEXT_ONLY,False,0,Много спойлеров хапонула
msg-00022,25730,CONTEXT_ONLY,CONTEXT_ONLY,False,0,Вот это ух ох
msg-00024,25728,CONTEXT_ONLY,CONTEXT_ONLY,False,0,когда пролив свеча уже будет...
msg-00029,25724,CONTEXT_ONLY,CONTEXT_ONLY,False,0,Поэтому пусть падает
msg-00030,25720,CONTEXT_ONLY,CONTEXT_ONLY,False,0,а как запрос там считается?
msg-00034,25718,CONTEXT_ONLY,CONTEXT_ONLY,False,0,ладно
msg-00035,25717,CONTEXT_ONLY,CONTEXT_ONLY,False,0,блять
msg-00038,25714,CONTEXT_ONLY,ATTACH_AS_CORROBORATING_EVIDENCE,False,0,актуально
msg-00042,25710,CONTEXT_ONLY,ATTACH_AS_CORROBORATING_EVIDENCE,False,0,нихуя вопросики
msg-00044,25708,CONTEXT_ONLY,CONTEXT_ONLY,False,0,Попросист
msg-00045,25707,CONTEXT_ONLY,CONTEXT_ONLY,False,0,при том что у меня гермес
msg-00046,25705,CONTEXT_ONLY,CONTEXT_ONLY,False,0,там защита есть?
msg-00048,25704,CONTEXT_ONLY,CONTEXT_ONLY,False,0,из 1000
msg-00050,25703,CONTEXT_ONLY,CONTEXT_ONLY,False,0,частный(
msg-00052,25700,CONTEXT_ONLY,CONTEXT_ONLY,False,0,твинки сделай
msg-00053,25699,CONTEXT_ONLY,CONTEXT_ONLY,False,0,Не
msg-00054,25698,CONTEXT_ONLY,CONTEXT_ONLY,False,0,я нашёл
msg-00056,25697,CONTEXT_ONLY,CONTEXT_ONLY,False,0,это платный канал с обуча?
msg-00057,25695,CONTEXT_ONLY,CONTEXT_ONLY,False,0,мало
