raw_id,chat,message_date,text_len,audit_class,usefulness,system_result,coverage_reason,intake_status,queue_status,batch_status,run_id,run_status,final_decision,single_score,material_count,embedding_count,preview
1,Solo Founders,2026-06-23T13:38:30+00:00,728,USEFUL_SIGNAL,50,INTAKE_PENDING,suppressed_by_scope_no_explicit_auto_setting,PENDING,,,,,,,0,0,"""Функционал крутой, но обновите уже дизайн. Без слез невозможно смотреть. Я понимаю что опен соурс все дела, но это же не обязывает приложение быть таким уродом. ☠️☠️☠️☠️☠️ 20 мар. 2024 г."" ""Что вы сделали в последнем мартовском 2024 обновл"
27,"founderStack / Общение, знакомства",2026-06-23T15:32:09+00:00,37,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Не знаю можно ли говорить это слово 🙈
33,Vibe Dev,2026-06-23T15:37:47+00:00,102,NOT_USEFUL,6,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,У меня в кодексе когда меняю акк чаты не слетают. А когда подключу апи то слетят или так же всё будет?
34,"founderStack / Общение, знакомства",2026-06-23T15:37:46+00:00,23,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"о как, а что случилось?"
35,"founderStack / Общение, знакомства",2026-06-23T15:38:14+00:00,36,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Я начал изучать программирование сам
38,Vibe Dev,2026-06-23T15:42:40+00:00,17,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Кодекс сам может?
39,Vibe Dev,2026-06-23T15:42:48+00:00,13,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Это что такое
40,"founderStack / Общение, знакомства",2026-06-23T15:42:43+00:00,45,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Щас тенденция обратная - выживить мозг в ИИ))
48,Vibecoder Chat [Public],2026-06-23T15:42:55+00:00,322,TROUBLESHOOTING,77,EMBEDDED_NO_MATERIAL,queue_status_processed,PROCESSED,PROCESSED,PROCESSED,5,COMPLETED,CANDIDATE,,0,1,"Нейросеть Codex оказалась способна «убить» SSD меньше чем за год Разработчик под ником 1996fanrui рассказал о неожиданной проблеме в работе консольного инструмента Codex CLI для агентного программирования. Как оказалось, одним из побочных э"
50,"founderStack / Общение, знакомства",2026-06-23T16:11:16+00:00,425,ANSWER_OR_EXPLANATION,64,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Matt Pocock выдает ооочень дельные советы. Позиция вкратце: разработка происходит на двух уровнях - стратегическом и тактическом. Тактический уровень забрали себе агенты. Раньше эту работу сгружали джунам, теперь сгружают агентам. Но страте"
64,"founderStack / Общение, знакомства",2026-06-23T16:14:50+00:00,154,NOT_USEFUL,18,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Так это на самом деле крутая тема Моя цель - никогда не работать) Если получается себе такое обеспечить и ни в чем не нуждаться - ящитаю, ты выиграл жизнь"
78,"founderStack / Общение, знакомства",2026-06-23T16:16:31+00:00,54,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"На земледелии то особо не заработаешь, разве что грыжу"
95,"founderStack / Общение, знакомства",2026-06-23T16:21:12+00:00,43,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Это не плохая цель, просто к чему она ведет"
100,"founderStack / Общение, знакомства",2026-06-23T16:21:55+00:00,40,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,К наличию свободного времени и ресурсов)
102,"founderStack / Общение, знакомства",2026-06-23T16:22:07+00:00,176,NOT_USEFUL,28,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Ни в чем не нуждаться можно проживая в Hilton где нибудь в Барселоне, или в маленькой деревне и своим хозяйством, тут тоже совсем разные уровне и к ним по разному придется идти"
106,ОМ: Полезное,2026-06-23T16:22:35+00:00,0,NOT_USEFUL,0,INTAKE_SKIPPED,text_extraction_empty_or_no_text,SKIPPED,,,,,,,0,0,
