lab_message_id,snapshot_id,raw_id,dataset_message_id,telegram_chat_id,chat_id,chat_title,topic_id,thread_id,topic_title,reply_to,timestamp,primary_class,classifier_route,route,route_reason,risk,material_type_hint,confidence,marker_id,domains,model_names,error_codes,length_tokens,has_link,has_api_terms,has_code,preview
msg-00105,snapshot-2e5c3804a503,25642,25642,-1003922856266,-1003922856266,,142,142,Флудилка,,2026-06-30T11:34:19+00:00,RISK_PROMO_REFERRAL,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,risk_referral_marker,,,,11,false,false,false,В принципе нитро буст уже не нужен тк есть бесплатный тиер бонус к опусу
msg-00144,snapshot-2e5c3804a503,25603,25603,-1003922856266,-1003922856266,,142,142,Флудилка,,2026-06-30T11:31:12+00:00,RISK_PROMO_REFERRAL,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,risk_referral_marker,,,,13,false,false,false,"я протестил сам, тк в чате видел челика с забущеннвм нитро и у него был открытый доступ к опусу"
msg-00150,snapshot-2e5c3804a503,25597,25597,-1003922856266,-1003922856266,,142,142,Флудилка,,2026-06-30T11:30:16+00:00,RISK_PROMO_REFERRAL,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,risk_referral_marker,,,,8,false,false,false,"А где инфа про нитро в самом дс ,я не нашел"
msg-01019,snapshot-2e5c3804a503,24679,24679,-1002165514145,-1002165514145,,771121741824,771121741824,,,2026-06-30T08:29:17+00:00,REFERRAL_OR_INVITE_LINK,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;link_requires_enrichment;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,link_only_marker,t.me,,,4,true,false,false,https://t.me/Asati_soft_bot?start=ref_739917282
msg-01056,snapshot-2e5c3804a503,24633,24633,-1002165514145,-1002165514145,,771090284544,771090284544,,,2026-06-30T08:14:58+00:00,REFERRAL_OR_INVITE_LINK,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;link_requires_enrichment;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,link_only_marker,t.me,,,8,true,false,false,хотя наебал - вот рефка https://t.me/Asati_soft_bot?start=ref_283194117
msg-01122,snapshot-2e5c3804a503,24563,24563,-1002922797592,-1002922797592,,127903,127903,"СХЕМЫ, АРБУЗЫ",,2026-06-30T07:56:05+00:00,REFERRAL_OR_INVITE_LINK,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;link_requires_enrichment;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,link_only_marker,t.me,,,4,true,false,false,https://t.me/claude_cli_api_shop_bot?start=ref_UM34FS2G
msg-02556,snapshot-2e5c3804a503,23047,23047,-1003958654677,-1003958654677,,26321354752,26321354752,,,2026-06-29T22:36:23+00:00,RISK_PROMO_REFERRAL,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,risk_referral_marker,,,,5,false,false,false,акк с нитро стоит ~10-20 рублей
msg-02593,snapshot-2e5c3804a503,23005,23005,-1003922856266,-1003922856266,,142,142,Флудилка,,2026-06-29T22:30:00+00:00,RISK_PROMO_REFERRAL,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,risk_referral_marker,,,,14,false,false,false,"не мой, видишь, там же есть инвайт тиеры, там короче если добьешь 30 то получишь безлимит пользование"
msg-02608,snapshot-2e5c3804a503,22990,22990,-1003922856266,-1003922856266,,142,142,Флудилка,,2026-06-29T22:27:39+00:00,RISK_PROMO_REFERRAL,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,risk_referral_marker,,,,17,false,false,false,"Там дневные лимиты только, я незнаю точное количество, но говорят что елси максимальный инвайт тиер сделать то можно нонстопать 24 часа"
msg-02733,snapshot-2e5c3804a503,22858,22858,-1002922797592,-1002922797592,,179,179,Codex,,2026-06-29T21:26:31+00:00,RISK_PROMO_REFERRAL,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,risk_referral_marker,,,,6,false,false,false,В семью инвайт. Где не подскажу увы
msg-03441,snapshot-2e5c3804a503,22066,22066,-1003922856266,-1003922856266,,142,142,Флудилка,,2026-06-29T19:37:11+00:00,REFERRAL_OR_INVITE_LINK,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;link_requires_enrichment;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,link_only_marker,t.me,,,5,true,false,false,ЫАВЫППРЗАВЫХА https://t.me/conduitoff_bot?start=ref_955461490
msg-06199,snapshot-2e5c3804a503,19071,19071,-1002922797592,-1002922797592,,127903,127903,"СХЕМЫ, АРБУЗЫ",,2026-06-29T11:55:26+00:00,RISK_PROMO_REFERRAL,SIGNAL_ONLY_RISK_REVIEW,MANUAL_REVIEW,risk_promo_or_referral_marker;risk_referral_or_abuse_never_auto_material,MEDIUM,NONE,0.860,risk_referral_marker,,,,39,false,false,false,"Так это не абьюз называется, а использование бесплатного триала , но это явно не абьюз ☺️ да и триал это тоже громко сказано) так чисто побаловаться. И хер знает какая там модель работает) Ну может для кого-то будет нормально) лучше уже брать sai , только инвайт код найти нужно, "
