algorithm,cluster_id,ru_name,name_kind,size,decision,decision_ru,quality_score,top_class,top_class_ru,top_route,classes,routes,top_20_ids,top_20_classes
bm25_token_overlap_baseline,lab-cluster-190,"Сбои, лимиты и ошибки: claude",outage_status,21,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,21.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 21}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 21}","msg-09190,msg-09221,msg-09241,msg-11127,msg-11675,msg-14375,msg-14476,msg-15977,msg-15979,msg-16277,msg-16752,msg-16795,msg-16838,msg-16883,msg-18053,msg-18104,msg-18107,msg-18114,msg-18300,msg-19252","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-284,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,6,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,6.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 6}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 6}","msg-16421,msg-16435,msg-16446,msg-17228,msg-17443,msg-17454","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-183,"Сбои, лимиты и ошибки: anthropic",outage_status,5,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,5.15,OUTAGE_STATUS,сбой / статус / ошибка,REVIEW_SIGNAL_OR_DISCUSSION,"{""OUTAGE_STATUS"": 5}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 5}","msg-08946,msg-09235,msg-15932,msg-16875,msg-19919","OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS"
bm25_token_overlap_baseline,lab-cluster-20,"Сбои, лимиты и ошибки: сервисы/API",outage_status,5,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,5.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 5}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 5}","msg-00361,msg-00366,msg-02122,msg-04666,msg-09895","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-62,"Сбои, лимиты и ошибки: сервисы/API",outage_status,5,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,5.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 5}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 5}","msg-02511,msg-02518,msg-02525,msg-09047,msg-09051","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-39,Смешанный кластер: социальная ссылка,mixed,12,LINK_ENRICHMENT_FIRST,сначала обогащение ссылки,4.35,SOCIAL_MEDIA_LINK,социальная ссылка,NEEDS_LINK_ENRICHMENT,"{""SOCIAL_MEDIA_LINK"": 12}","{""NEEDS_LINK_ENRICHMENT"": 12}","msg-01032,msg-04846,msg-07645,msg-08771,msg-09133,msg-09411,msg-09470,msg-10221,msg-12753,msg-15919,msg-18728,msg-19701","SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK"
bm25_token_overlap_baseline,lab-cluster-107,"Сбои, лимиты и ошибки: сервисы/API",outage_status,4,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,4.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 4}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 4}","msg-04872,msg-12551,msg-13006,msg-15972","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-120,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,4,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,4.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 4}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 4}","msg-05590,msg-05611,msg-05642,msg-19387","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-63,"Сбои, лимиты и ошибки: openai",outage_status,4,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,4.15,OUTAGE_STATUS,сбой / статус / ошибка,REVIEW_SIGNAL_OR_DISCUSSION,"{""OUTAGE_STATUS"": 4}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 4}","msg-02517,msg-02528,msg-02529,msg-07844","OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS"
bm25_token_overlap_baseline,lab-cluster-196,"Сбои, лимиты и ошибки: сервисы/API",outage_status,3,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,3.15,POTENTIAL_DISCUSSION_SIGNAL,потенциальное обсуждение,REVIEW_SIGNAL_OR_DISCUSSION,"{""POTENTIAL_DISCUSSION_SIGNAL"": 3}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 3}","msg-09383,msg-14709,msg-19925","POTENTIAL_DISCUSSION_SIGNAL,POTENTIAL_DISCUSSION_SIGNAL,POTENTIAL_DISCUSSION_SIGNAL"
