manual_id,raw_id,expected_verdict,actual_status,candidate_type,segment_id,score,llm_decision,material_id,skip_or_reject_reason,correct,notes,nearest_raw_id,dataset_message_id,replay_run_message_id,message_date,processable,active_dialog,auto_pipeline_enabled,pipeline_status,single_message_rejection_reason,broader_day_candidate_raw_id,broader_day_candidate_message_date
"M01",,"MAYBE_SUMMARY_NOT_GUIDE","EXPECTED_CONTENT_NOT_FOUND_IN_SPECIFIED_WINDOW","SINGLE_MESSAGE_EVALUATED","",,"REJECTED_SINGLE_MESSAGE",,"nearest timestamp raw does not match expected content; nearest_delta_seconds=26","NO_DECISION_ON_EXPECTED_CONTENT_IN_WINDOW","broader_day_candidate_raw=11411; broader_day_message_date=2026-06-27T04:48:25+00:00; hit_count=6","11201","10176","7452","2026-06-27T00:41:26+00:00","true","true",,"PROCESSED","SUPPRESSED_BY_CLASSIFIER","11411","2026-06-27T04:48:25+00:00"
"M02",,"REJECT_PROMO_ALONE_OR_MERGE_CONTEXT_FOR_PROXY_API_RISK_GUIDE","EXPECTED_CONTENT_NOT_FOUND_IN_SPECIFIED_WINDOW","SINGLE_MESSAGE_EVALUATED","",,"REJECTED_SINGLE_MESSAGE",,"nearest timestamp raw does not match expected content; nearest_delta_seconds=23","NO_DECISION_ON_EXPECTED_CONTENT_IN_WINDOW","broader_day_candidate_raw=11313; broader_day_message_date=2026-06-27T01:18:53+00:00; hit_count=1","11203","10178","7454","2026-06-27T00:43:23+00:00","true","true",,"PROCESSED","SUPPRESSED_BY_CLASSIFIER","11313","2026-06-27T01:18:53+00:00"
"M03",,"SHOULD_BECOME_MATERIAL","EXPECTED_CONTENT_NOT_FOUND_IN_SPECIFIED_WINDOW","SINGLE_MESSAGE_EVALUATED","",,"REJECTED_SINGLE_MESSAGE",,"nearest timestamp raw does not match expected content; nearest_delta_seconds=37","NO_DECISION_ON_EXPECTED_CONTENT_IN_WINDOW","broader_day_candidate_raw=11434; broader_day_message_date=2026-06-27T05:15:17+00:00; hit_count=2","11203","10178","7454","2026-06-27T00:43:23+00:00","true","true",,"PROCESSED","SUPPRESSED_BY_CLASSIFIER","11434","2026-06-27T05:15:17+00:00"
"M04",,"MAYBE_SUMMARY_NOT_GUIDE","EXPECTED_CONTENT_NOT_FOUND_IN_SPECIFIED_WINDOW","SINGLE_MESSAGE_EVALUATED","",,"REJECTED_SINGLE_MESSAGE",,"nearest timestamp raw does not match expected content; nearest_delta_seconds=37","NO_DECISION_ON_EXPECTED_CONTENT_IN_WINDOW","broader_day_candidate_raw=11392; broader_day_message_date=2026-06-27T03:36:27+00:00; hit_count=1","11203","10178","7454","2026-06-27T00:43:23+00:00","true","true",,"PROCESSED","SUPPRESSED_BY_CLASSIFIER","11392","2026-06-27T03:36:27+00:00"
"M05",,"SHOULD_BECOME_MATERIAL_IF_CONTEXT_ENOUGH","EXPECTED_CONTENT_NOT_FOUND_IN_SPECIFIED_WINDOW","SINGLE_MESSAGE_EVALUATED","",,"REJECTED_SINGLE_MESSAGE",,"nearest timestamp raw does not match expected content; nearest_delta_seconds=37","NO_DECISION_ON_EXPECTED_CONTENT_IN_WINDOW","broader_day_candidate_raw=11427; broader_day_message_date=2026-06-27T05:04:57+00:00; hit_count=1","11203","10178","7454","2026-06-27T00:43:23+00:00","true","true",,"PROCESSED","SUPPRESSED_BY_CLASSIFIER","11427","2026-06-27T05:04:57+00:00"
"M06",,"MAYBE_SUMMARY_NOT_GUIDE","EXPECTED_CONTENT_NOT_FOUND_IN_SPECIFIED_WINDOW","SINGLE_MESSAGE_EVALUATED","",,"REJECTED_SINGLE_MESSAGE",,"nearest timestamp raw does not match expected content; nearest_delta_seconds=37","NO_DECISION_ON_EXPECTED_CONTENT_IN_WINDOW","broader_day_candidate_raw=11427; broader_day_message_date=2026-06-27T05:04:57+00:00; hit_count=2","11203","10178","7454","2026-06-27T00:43:23+00:00","true","true",,"PROCESSED","SUPPRESSED_BY_CLASSIFIER","11427","2026-06-27T05:04:57+00:00"
"M07",,"MAYBE_SAFETY_SUMMARY_ONLY_OR_REJECT_ACCESS_CIRCUMVENTION_HOWTO","EXPECTED_CONTENT_NOT_FOUND_IN_SPECIFIED_WINDOW","SINGLE_MESSAGE_EVALUATED","",,"REJECTED_SINGLE_MESSAGE",,"nearest timestamp raw does not match expected content; nearest_delta_seconds=217","NO_DECISION_ON_EXPECTED_CONTENT_IN_WINDOW","broader_day_candidate_raw=11427; broader_day_message_date=2026-06-27T05:04:57+00:00; hit_count=5","11203","10178","7454","2026-06-27T00:43:23+00:00","true","true",,"PROCESSED","SUPPRESSED_BY_CLASSIFIER","11427","2026-06-27T05:04:57+00:00"
"M08",,"REJECT_ABUSE","EXPECTED_CONTENT_NOT_FOUND_IN_SPECIFIED_WINDOW","NONE_FOR_EXPECTED_CONTENT","",,,,"nearest timestamp raw does not match expected content; nearest_delta_seconds=98","NO_DECISION_ON_EXPECTED_CONTENT_IN_WINDOW","broader_day_candidate_raw=11963; broader_day_message_date=2026-06-27T08:09:58+00:00; hit_count=2","11257",,,"2026-06-27T00:51:38+00:00","false","false",,"PENDING",,"11963","2026-06-27T08:09:58+00:00"
"M09",,"SHOULD_BECOME_MATERIAL","EXPECTED_CONTENT_NOT_FOUND_IN_SPECIFIED_WINDOW","SINGLE_MESSAGE_EVALUATED","",,"REJECTED_SINGLE_MESSAGE",,"nearest timestamp raw does not match expected content; nearest_delta_seconds=2","NO_DECISION_ON_EXPECTED_CONTENT_IN_WINDOW","broader_day_candidate_raw=11484; broader_day_message_date=2026-06-27T06:01:19+00:00; hit_count=5","11266","10179","7455","2026-06-27T00:55:02+00:00","true","true",,"PROCESSED","SUPPRESSED_BY_CLASSIFIER","11484","2026-06-27T06:01:19+00:00"
"M10",,"REJECT_ENTITY_ONLY","EXPECTED_CONTENT_NOT_FOUND_IN_SPECIFIED_WINDOW","SINGLE_MESSAGE_EVALUATED","",,"REJECTED_SINGLE_MESSAGE",,"nearest timestamp raw does not match expected content; nearest_delta_seconds=170","LIKELY_CORRECT_REJECT_OR_NOT_PRESENT","no broader-day content candidate found by keyword search","11288","10180","7456","2026-06-27T01:01:50+00:00","true","true",,"PROCESSED","CHAT_CONTEXT_ONLY",,
