local_id,raw_ids,chat,topic,source_count,combined_score,decision,proposed_material_type,signals,rejection_reason
"S0092","5977 5978 5982 6001","Asati Chat","763758641152","4","0.64","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,MULTI_MESSAGE_CONTEXT",""
"S0109","6038 6040 6041 6072 6077 6107","Vibe GIG Мастерская","Флудилка","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0021","6047 6048 6052 6062 6064 6069","Vibemode","Баги и вопросы по API","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0024","6062 6064 6069 6070 6071 6078","Vibemode","Баги и вопросы по API","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0112","6072 6077 6107 6109 6110 6115","Vibe GIG Мастерская","Флудилка","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0035","6112 6113 6114 6117 6118 6120","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","SUMMARY","CHECKLIST_OR_LIST,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0122","6192 6208 6210 6211 6212 6213","Vibe GIG Мастерская","Флудилка","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0132","6220 6221 6222 6223 6224 6225","Vibe GIG Мастерская","Флудилка","6","1","DISCUSSION_SEGMENT_CANDIDATE","SUMMARY","PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,CHECKLIST_OR_LIST,TECHNICAL_API_CACHE_COST,PRODUCT_FEEDBACK_BURST,MULTI_MESSAGE_CONTEXT",""
"S0135","6223 6224 6225 6226 6258 6259","Vibe GIG Мастерская","Флудилка","6","0.8","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,CHECKLIST_OR_LIST,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0217","6341 6360 6538 6539 6540 6543","ОМ: Биохакинг","6411","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","SUMMARY","Q_AND_A_PAIR,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0222","6543 6571 6574 6575 6591 6592","ОМ: Биохакинг","6411","6","0.88","DISCUSSION_SEGMENT_CANDIDATE","SUMMARY","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0226","6591 6592 6684 6688","ОМ: Биохакинг","6411","4","0.74","DISCUSSION_SEGMENT_CANDIDATE","SUMMARY","Q_AND_A_PAIR,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0298","6641 6644 6653 6655 6656 6657","Опричнина.","1369656262656","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0158","6683 6730","Vibe GIG Мастерская","Полезные ссылки","2","0.6","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY",""
"S0266","6691 6765 6769 6776 6778 6799","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0323","6716 6861","ОМ: Полезные обсуждения","58143539200","2","0.7","DISCUSSION_SEGMENT_CANDIDATE","SUMMARY","Q_AND_A_PAIR,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,REPEATED_ENTITY",""
"S0269","6776 6778 6799 6803 6805 6806","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
