expected_id,manual_title,raw_ids,expected_type,actual_stage,actual_decision,actual_reason,actual_material_id,gap_type,fix_recommendation
"E01","Checklist for diagnosing ModelHub/API slowdowns and model fallback","6034 6042 6052 6062 6069 6070 6078 6079 6105","NEEDS_DISCUSSION_SEGMENT","embedding","REJECTED_SINGLE_MESSAGE","CHAT_CONTEXT_ONLY; LOW_SINGLE_MESSAGE_SCORE; TOO_SHORT","","DISCUSSION_SEGMENT_MISSING","Add bounded same chat/topic/thread chain grouping with combined score."
"E02","How Claude/Anthropic prompt caching affects limits and API cost","6765 6776 6778 6799 6803 6805 6817 6826 6836 6850 6876","SHOULD_BE_GUIDE","embedding","REJECTED_SINGLE_MESSAGE","LOW_SINGLE_MESSAGE_SCORE; TOO_SHORT; CHAT_CONTEXT_ONLY","","DISCUSSION_SEGMENT_MISSING","Add bounded same chat/topic/thread chain grouping with combined score."
"E03","Lampa StreamBert repo and what it does","6107 6119 6208 6730","SHOULD_BE_ANSWER","embedding","REJECTED_SINGLE_MESSAGE","LOW_SINGLE_MESSAGE_SCORE","","CLUSTERING_MISSED","Resource-link dedupe/clustering across cross-posts."
"E04","Pain points for AI coding CLI users","6221 6223 6224 6225","SHOULD_BE_SUMMARY","embedding","REJECTED_SINGLE_MESSAGE","LOW_SINGLE_MESSAGE_SCORE; TOO_SHORT","","CLUSTERING_MISSED","Same-timestamp burst/list grouping; list-structure boost."
"E05","How to improve hh.ru resume visibility: activity checklist and AI-filter limitations","6716 6861","SHOULD_BE_GUIDE","llm_judge","SINGLE_MESSAGE_MATERIAL_CANDIDATE","LLM_REJECTED_ALL","","MATERIAL_GENERATION_BUG","Fixed approvedJudgeDecision whitelist; controlled raw 6861 reprocess only if approved."
"E06","How to phrase technical resume achievements actively","6536","SHOULD_BE_ANSWER","embedding","REJECTED_SINGLE_MESSAGE","LOW_SINGLE_MESSAGE_SCORE","","SINGLE_MESSAGE_FALSE_NEGATIVE","Boost concrete before/after career wording examples; maybe route resume advice to answer."
"E07","Psychedelic retreats: cautionary observations and goal-setting alternative","6341 6540 6543 6592 6688 6820","NEEDS_DISCUSSION_SEGMENT","embedding","REJECTED_SINGLE_MESSAGE","TOO_SHORT; LOW_SINGLE_MESSAGE_SCORE; CHAT_CONTEXT_ONLY","","DISCUSSION_SEGMENT_MISSING","Add bounded same chat/topic/thread chain grouping with combined score."
"E08","Working remotely from another location: risk checklist","6144 6367","SHOULD_BE_ANSWER","embedding","REJECTED_SINGLE_MESSAGE","LOW_SINGLE_MESSAGE_SCORE","","DISCUSSION_SEGMENT_MISSING","Add bounded same chat/topic/thread chain grouping with combined score."
"E09","AI news digest from overnight posts","6419 6544 6545 6831","LOW_VALUE","embedding","REJECTED_SINGLE_MESSAGE","LOW_SINGLE_MESSAGE_SCORE","","CORRECT_REJECT","Keep rejected."
"E10","Hosting promo post","6306 6307","NOISE","embedding","REJECTED_SINGLE_MESSAGE","LOW_SINGLE_MESSAGE_SCORE; CHAT_CONTEXT_ONLY","","CORRECT_REJECT","Keep rejected."
