material_id,title,type,source_raw_ids,source_count,manual_verdict,explanation,fix
"18","Скепсис к фишкам ради фишек","generation","5241 5243","2","LOW_VALUE","Meta-chat skepticism; likely not a durable material.","Raise generation quality gate for opinion-only clusters."
"17","DeepSeek vs Opus check discussion","cluster_summary","5049 5053","2","LOW_VALUE","Thin cluster summary, not actionable.","Require concrete takeaway or user action for cluster summaries."
"16","Google DeepMind researchers to competitors","newsBrief","5023 5028","2","OK_BUT_WRONG_TYPE","Valid news brief if news mode is desired; otherwise low product value.","Separate newsBrief tab/setting from guides."
"15","Personal acquaintance clarification","generation","5060 5064","2","SHOULD_NOT_EXIST","Personal/social clarification has no durable knowledge value.","Add personal-chat/social-chatter suppression."
"14","Multiple ChatGPT Plus accounts switch point","guide","4561","1","REVIEW","Potentially useful but may be policy-sensitive and needs source verification.","Risk/policy warning and human review."
"13","Repeated community welcome message","cluster_summary","2440 2813 3240 4174","4","SHOULD_NOT_EXIST","Onboarding boilerplate duplicate; not a material.","Suppress repeated welcome templates."
"12","Optimize resume for AI filters and HR on hh","guide","2662","1","GOOD","Existing related material means overnight hh guide may be partial duplicate but raw 6861 adds visibility checklist.","Dedupe should compare topic and update existing guide rather than blindly skip."
"11","Useful ChatGPT prompts collection","generation","2926 2947","2","GOOD","Useful if prompts are actually preserved in body.","Ensure material body includes concrete prompts."
"10","Cursor OpenAI-compatible API check mini-guide","guide","2902","1","GOOD","High-quality concrete troubleshooting guide.","Use as positive scoring exemplar."
"9","Anthropic Careers Overview","generation","2672 2678","2","LOW_VALUE","Generic URL summary; not from overnight and likely low value.","Require user problem or actionable extraction."
"8","BGE-M3 RAM and embedding dimension","answer","synthetic","2","GOOD","Concrete technical answer.","Keep."
"7","Hugging Face and ML/RAG infrastructure note","generation","synthetic","5","OK_BUT_WRONG_TYPE","Broad reference material, probably should be guide/reference.","Improve type labeling."
"6","Docker build failures for PyTorch CPU-only images","guide","synthetic","5","GOOD","Concrete troubleshooting guide.","Keep."
"5","FastAPI launch and production deployment","guide","synthetic","2","GOOD","Concrete technical guide.","Keep."
"4","SentenceTransformer import error","generation","synthetic","2","GOOD","Concrete troubleshooting note, but type should be answer/guide.","Improve artifact type mapping."
"3","Scoped acceptance run budget guidance","generation","synthetic","3","GOOD","Operational guidance useful for this product.","Keep internal/operator classification."
"2","Spring pipeline operations debugging","generation","synthetic","5","GOOD","Operational guide useful for system debugging.","Keep internal/operator classification."
