local_id,raw_ids,chat,topic,source_count,combined_score,decision,proposed_material_type,signals,rejection_reason
"S0002","5953 5954 5955 5957 5959 5965","Vibemode","Баги и вопросы по API","6","0.7","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0009","6012 6014 6016 6018 6019 6021","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0012","6018 6019 6021 6024 6025 6026","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0013","6019 6021 6024 6025 6026 6030","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0014","6021 6024 6025 6026 6030 6034","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0015","6024 6025 6026 6030 6034 6042","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0016","6025 6026 6030 6034 6042 6047","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0017","6026 6030 6034 6042 6047 6048","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0018","6030 6034 6042 6047 6048 6052","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0019","6034 6042 6047 6048 6052 6062","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0020","6042 6047 6048 6052 6062 6064","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0021","6047 6048 6052 6062 6064 6069","Vibemode","Баги и вопросы по API","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0022","6048 6052 6062 6064 6069 6070","Vibemode","Баги и вопросы по API","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0023","6052 6062 6064 6069 6070 6071","Vibemode","Баги и вопросы по API","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0024","6062 6064 6069 6070 6071 6078","Vibemode","Баги и вопросы по API","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0025","6064 6069 6070 6071 6078 6079","Vibemode","Баги и вопросы по API","6","0.88","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0026","6069 6070 6071 6078 6079 6094","Vibemode","Баги и вопросы по API","6","0.88","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0029","6078 6079 6094 6103 6105 6111","Vibemode","Баги и вопросы по API","6","0.68","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0030","6079 6094 6103 6105 6111 6112","Vibemode","Баги и вопросы по API","6","0.68","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0031","6094 6103 6105 6111 6112 6113","Vibemode","Баги и вопросы по API","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,CHECKLIST_OR_LIST,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0032","6103 6105 6111 6112 6113 6114","Vibemode","Баги и вопросы по API","6","0.88","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,CHECKLIST_OR_LIST,TECHNICAL_API_CACHE_COST,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0033","6105 6111 6112 6113 6114 6117","Vibemode","Баги и вопросы по API","6","0.7","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","CHECKLIST_OR_LIST,TECHNICAL_API_CACHE_COST,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0034","6111 6112 6113 6114 6117 6118","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","CHECKLIST_OR_LIST,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0035","6112 6113 6114 6117 6118 6120","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","CHECKLIST_OR_LIST,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0036","6113 6114 6117 6118 6120 6125","Vibemode","Баги и вопросы по API","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","CHECKLIST_OR_LIST,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0047","6151 6152 6153 6154 6155 6159","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0048","6152 6153 6154 6155 6159 6162","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0049","6153 6154 6155 6159 6162 6164","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0050","6154 6155 6159 6162 6164 6166","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0051","6155 6159 6162 6164 6166 6167","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
